order_id,category,price,returns,rating
ORD-001,Electronics,299.99,False,4
ORD-002,Clothing,45.50,False,5
ORD-003,Books,12.99,False,4
ORD-004,Home,89.99,True,2
ORD-005,Sports,59.99,False,5
ORD-006,Beauty,24.99,False,4
ORD-007,Electronics,499.99,False,5
ORD-008,Clothing,32.50,True,3
ORD-009,Books,9.99,False,5
ORD-010,Home,149.99,False,4
ORD-011,Sports,34.99,False,4
ORD-012,Beauty,18.99,False,5
ORD-013,Electronics,199.99,True,2
ORD-014,Clothing,67.50,False,4
ORD-015,Books,15.99,False,3
ORD-016,Home,249.99,False,5
ORD-017,Sports,79.99,False,4
ORD-018,Beauty,35.99,False,5
ORD-019,Electronics,399.99,False,4
ORD-020,Clothing,55.00,False,5
ORD-021,Books,21.99,False,4
ORD-022,Home,119.99,True,3
ORD-023,Sports,44.99,False,4
ORD-024,Beauty,28.99,False,5
ORD-025,Electronics,179.99,False,4
ORD-026,Clothing,38.75,True,2
ORD-027,Books,8.99,False,5
ORD-028,Home,199.99,False,4
ORD-029,Sports,99.99,False,5
ORD-030,Beauty,42.99,False,4
ORD-031,Electronics,649.99,True,3
ORD-032,Clothing,72.00,False,5
ORD-033,Books,18.99,False,4
ORD-034,Home,79.99,False,4
ORD-035,Sports,129.99,False,5
ORD-036,Beauty,19.99,False,4
ORD-037,Electronics,299.99,False,5
ORD-038,Clothing,49.25,False,4
ORD-039,Books,14.99,True,2
ORD-040,Home,329.99,False,4
ORD-041,Sports,54.99,False,5
ORD-042,Beauty,31.99,False,4
ORD-043,Electronics,899.99,False,4
ORD-044,Clothing,85.00,False,5
ORD-045,Books,11.99,False,4
ORD-046,Home,169.99,True,3
ORD-047,Sports,74.99,False,5
ORD-048,Beauty,22.99,False,4
ORD-049,Electronics,149.99,False,5
ORD-050,Clothing,58.50,False,4
